date,league,home,away,home_score,away_score,odds_home,odds_draw,odds_away,odds_over25,odds_btts,odds_timing,source
2023-09-03,Ligue 1,Toulouse,Clermont,2,2,2.21,3.44,3.25,1.95,,closing,football-data:2324:F1
2023-09-03,Premier League,Arsenal,Man United,3,1,1.77,4.14,4.29,1.47,,closing,football-data:2324:E0
2023-09-03,Premier League,Crystal Palace,Wolves,3,2,1.9,3.54,4.32,2.09,,closing,football-data:2324:E0
2023-09-03,Premier League,Liverpool,Aston Villa,3,0,1.61,4.62,4.94,1.4,,closing,football-data:2324:E0
2023-09-03,Serie A,Empoli,Juventus,0,2,5.43,4.04,1.63,1.86,,closing,football-data:2324:I1
2023-09-03,Serie A,Inter,Fiorentina,4,0,1.71,3.92,4.84,1.73,,closing,football-data:2324:I1
2023-09-03,Serie A,Lecce,Salernitana,2,0,1.97,3.33,4.21,2.28,,closing,football-data:2324:I1
2023-09-03,Serie A,Torino,Genoa,1,0,2.06,3.28,3.94,2.35,,closing,football-data:2324:I1
2023-09-15,Bundesliga,Bayern Munich,Leverkusen,2,2,1.59,4.62,5.08,1.38,,closing,football-data:2324:D1
2023-09-15,La Liga,Vallecano,Alaves,2,0,2.03,3.2,4.22,2.61,,closing,football-data:2324:SP1
2023-09-15,Ligue 1,Paris SG,Nice,2,3,1.58,4.41,5.37,1.56,,closing,football-data:2324:F1
2023-09-16,Bundesliga,Bochum,Ein Frankfurt,1,1,2.85,3.39,2.52,1.99,,closing,football-data:2324:D1
2023-09-16,Bundesliga,FC Koln,Hoffenheim,1,3,2.18,3.77,3.08,1.56,,closing,football-data:2324:D1
2023-09-16,Bundesliga,Freiburg,Dortmund,2,4,2.89,3.76,2.32,1.48,,closing,football-data:2324:D1
2023-09-16,Bundesliga,Mainz,Stuttgart,1,3,2.62,3.5,2.67,1.79,,closing,football-data:2324:D1
2023-09-16,Bundesliga,RB Leipzig,Augsburg,3,0,1.26,6.59,10.42,1.37,,closing,football-data:2324:D1
2023-09-16,Bundesliga,Wolfsburg,Union Berlin,2,1,2.19,3.36,3.48,2.09,,closing,football-data:2324:D1
2023-09-16,La Liga,Ath Bilbao,Cadiz,3,0,1.58,3.92,6.42,2.16,,closing,football-data:2324:SP1
2023-09-16,La Liga,Barcelona,Betis,5,0,1.31,5.82,9.36,1.47,,closing,football-data:2324:SP1
2023-09-16,La Liga,Celta,Mallorca,0,1,2.08,3.1,4.21,2.63,,closing,football-data:2324:SP1
2023-09-16,La Liga,Valencia,Ath Madrid,3,0,3.47,3.24,2.23,2.23,,closing,football-data:2324:SP1
2023-09-16,Ligue 1,Lens,Metz,0,1,1.51,4.44,6.29,1.68,,closing,football-data:2324:F1
2023-09-16,Ligue 1,Rennes,Lille,2,2,2.13,3.52,3.42,1.89,,closing,football-data:2324:F1
2023-09-16,Premier League,Aston Villa,Crystal Palace,3,1,1.94,3.64,4.01,1.89,,closing,football-data:2324:E0
2023-09-16,Premier League,Fulham,Luton,1,0,1.66,3.79,5.67,2.1,,closing,football-data:2324:E0
2023-09-16,Premier League,Man United,Brighton,1,3,2.0,3.99,3.44,1.43,,closing,football-data:2324:E0
2023-09-16,Premier League,Newcastle,Brentford,1,0,1.64,4.08,5.4,1.77,,closing,football-data:2324:E0
2023-09-16,Premier League,Tottenham,Sheffield United,2,1,1.29,6.17,9.68,1.41,,closing,football-data:2324:E0
2023-09-16,Premier League,West Ham,Man City,1,3,5.6,4.22,1.61,1.75,,closing,football-data:2324:E0
2023-09-16,Premier League,Wolves,Liverpool,1,3,4.77,4.35,1.67,1.52,,closing,football-data:2324:E0
2023-09-16,Serie A,Genoa,Napoli,2,2,5.52,3.87,1.65,1.95,,closing,football-data:2324:I1
2023-09-16,Serie A,Inter,Milan,5,1,2.17,3.44,3.44,1.85,,closing,football-data:2324:I1
2023-09-16,Serie A,Juventus,Lazio,3,1,1.91,3.5,4.25,2.1,,closing,football-data:2324:I1
2023-09-17,Bundesliga,Darmstadt,M'gladbach,3,3,2.4,3.61,2.83,1.66,,closing,football-data:2324:D1
2023-09-17,Bundesliga,Heidenheim,Werder Bremen,4,2,2.32,3.78,2.88,1.63,,closing,football-data:2324:D1
2023-09-17,La Liga,Getafe,Osasuna,3,2,2.62,2.84,3.25,3.08,,closing,football-data:2324:SP1
2023-09-17,La Liga,Real Madrid,Sociedad,2,1,1.73,3.79,5.03,1.92,,closing,football-data:2324:SP1
2023-09-17,La Liga,Sevilla,Las Palmas,1,0,1.59,4.08,5.94,1.87,,closing,football-data:2324:SP1
2023-09-17,La Liga,Villarreal,Almeria,2,1,1.5,4.9,5.78,1.38,,closing,football-data:2324:SP1
2023-09-17,Ligue 1,Clermont,Nantes,0,1,1.86,3.68,4.23,1.97,,closing,football-data:2324:F1
2023-09-17,Ligue 1,Lorient,Monaco,2,2,4.64,4.08,1.71,1.61,,closing,football-data:2324:F1
2023-09-17,Ligue 1,Lyon,Le Havre,0,0,1.69,4.09,4.7,1.67,,closing,football-data:2324:F1
2023-09-17,Ligue 1,Marseille,Toulouse,0,0,1.44,4.84,6.83,1.57,,closing,football-data:2324:F1
2023-09-17,Ligue 1,Reims,Brest,1,2,1.97,3.57,3.89,1.84,,closing,football-data:2324:F1
